Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count
2020-10-26,,,,,,,,,,,253,100.4731353521347,0.8081905240284629,1.1731125116348267,0.2615191638469696,2
2020-10-27,,,,,,,,,,,237,103.85604333877563,0.5421091302428164,0.7647507190704346,0.31382301449775696,3
2020-10-28,,,,,,,,,,,84,40.974300384521484,0.8444385754776833,1.3148877620697021,0.40824803709983826,2
2020-10-29,,,,,,,,,,,239,82.4948844909668,0.9985338567395775,1.245528221130371,0.45372769236564636,1
2020-10-30,,,,,,,,,,,453,143.1469190120697,0.8938725619589236,1.1764158010482788,0.2992554306983948,2
2020-10-31,,,,,6.0,6,,,,,3445,2042.4709128141403,0.5340949171992798,1.4287313222885132,0.25197234749794006,41
2020-11-01,,,,,7.0,7,,,,,2948,1771.9807144403458,0.5801169030088051,1.4404813051223755,0.25092560052871704,40
2020-11-02,,,,434.3185282436106,,,,,,,20,,,,,
2020-11-03,,,,1564.4999384519974,,,,,,,92,36.403470039367676,0.6748170743137376,0.8594828248023987,0.49536094069480896,
2020-11-04,73.0,73.0,73.0,1130.256484476267,,,-33.8921114,151.1838076,-33.8921114,151.1838076,16,2.9422426223754883,,,,
